Mutual Information
OT
manoah,0.10226426007466952
judg,0.07543258929052984
jephthah,0.062351770827497315
angel,0.062351770827497315
woman,0.062351770827497315
water,0.04948381594846705
ammon,0.04948381594846705
gileadit,0.04948381594846705
buri,0.04948381594846705
israel,0.04371300588224836
NT
jesu,0.09494706579149524
paralyt,0.09494706579149524
bed,0.07514149765440611
sin,0.07514149765440611
preach,0.05576423893950849
cleans,0.05576423893950849
immedi,0.05576423893950849
tax,0.05576423893950849
sinner,0.05576423893950849
door,0.036794230592694155
Quran
mose,0.22731830464006872
pharaoh,0.16092979750101236
miracl,0.1262117502025167
magician,0.1262117502025167
peopl,0.06592422163838504
throw,0.06078536569497948
reject,0.04518311820016141
promis,0.04518311820016141
time,0.04518311820016141
ask,0.04518311820016141

Chi Squared
OT
manoah,12.567272727272726
judg,9.240641711229946
jephthah,7.625772285966461
angel,7.625772285966461
woman,7.625772285966461
israel,6.563032670454546
day,6.270894946637521
year,6.270894946637521
water,6.041958041958042
ammon,6.041958041958042
NT
jesu,14.979195561719834
paralyt,14.979195561719834
bed,11.868131868131869
sin,11.868131868131869
preach,8.816326530612244
cleans,8.816326530612244
immedi,8.816326530612244
tax,8.816326530612244
sinner,8.816326530612244
door,5.822102425876011
Quran
mose,33.54492566257272
pharaoh,22.040816326530614
miracl,17.28
magician,17.28
peopl,10.504559270516717
throw,8.307692307692308
reject,6.171428571428572
promis,6.171428571428572
time,6.171428571428572
ask,6.171428571428572
