class,average_probabilities
NT,"[(1, 0.03393047650655111), (5, 0.01539981762568156), (6, 0.010412026776207818), (0, 0.010265425178739759), (11, 0.009756150510576036), (2, 0.009462958574295044), (7, 0.008074044519000583), (9, 0.005798942512936062), (10, 0.005769947502348158), (15, 0.0055162002642949425), (13, 0.005421956380208333), (17, 0.005421952075428433), (16, 0.005064815282821655), (8, 0.004787032802899678), (3, 0.004324052068922255), (4, 0.0006203776018487082), (12, 0.0006203776018487082), (14, 0.0006203776018487082), (18, 0.0006203776018487082), (19, 0.0006203776018487082)]"
OT,"[(1, 0.04349119990479713), (3, 0.0395196933372348), (15, 0.03636502752117082), (13, 0.036055744863023945), (4, 0.030309394294140386), (0, 0.03001753021689022), (6, 0.026932213820663152), (10, 0.02678808277728511), (19, 0.018374169574064368), (9, 0.018343731468799068), (11, 0.017986095419117047), (8, 0.017830872068218158), (5, 0.01470192740945255), (18, 0.009346403912001965), (17, 0.009346396315331552), (12, 0.008570247421077653), (7, 0.007671559558195227), (2, 0.0003186309454487819), (14, 0.0003186309454487819), (16, 0.0003186309454487819)]"
Quran,"[(17, 0.06261441537312099), (12, 0.03215940935271127), (19, 0.02489925708089556), (9, 0.024550876447132657), (3, 0.023767128586769104), (11, 0.017046121614319936), (7, 0.016315711396081106), (15, 0.016056517405169352), (14, 0.015433823423726218), (16, 0.0141305040035929), (18, 0.008178141500268663), (13, 0.008178134581872396), (4, 0.007976180208580834), (6, 0.007976175951106208), (0, 0.007604151964187622), (8, 0.00046131380700639317), (1, 0.0004613137737448726), (2, 0.0004613137737448726), (5, 0.0004613137737448726), (10, 0.0004613137737448726)]"
